window_s,seed,variant,mode,split,level,n,threshold,auroc,avg_precision,balanced_acc,accuracy,sensitivity,specificity,f1,cohen_kappa
15.0,0,reconstruction_only,full,test,window,5422,,0.6062,0.7132,0.5632,0.5738,0.6086,0.5178,0.6377,0.123
15.0,0,reconstruction_only,full,test,subject,40,,0.6075,0.6223,0.55,0.55,0.65,0.45,0.5909,0.1
15.0,0,reconstruction_only,full,test,subject_cal,40,0.49,0.6075,0.6223,0.55,0.55,0.7,0.4,0.6087,0.1
15.0,0,reconstruction_only,full,val,window,5166,,0.6362,0.7169,0.5965,0.6154,0.6913,0.5017,0.683,0.1942
15.0,0,reconstruction_only,full,val,subject,40,,0.74,0.6753,0.775,0.775,0.9,0.65,0.8,0.55
15.0,0,lejepa_only_128,full,test,window,5422,,0.7013,0.7788,0.5919,0.6643,0.9031,0.2808,0.7683,0.2057
15.0,0,lejepa_only_128,full,test,subject,40,,0.7275,0.7043,0.6,0.6,1.0,0.2,0.7143,0.2
15.0,0,lejepa_only_128,full,test,subject_cal,40,0.6388,0.7275,0.7043,0.575,0.575,0.6,0.55,0.5854,0.15
15.0,0,lejepa_only_128,full,val,window,5166,,0.6584,0.7125,0.5706,0.6438,0.9387,0.2025,0.7596,0.1599
15.0,0,lejepa_only_128,full,val,subject,40,,0.7225,0.6667,0.6,0.6,1.0,0.2,0.7143,0.2
15.0,0,mixed_128,full,test,window,5422,,0.5846,0.6805,0.5563,0.5955,0.725,0.3875,0.6885,0.1163
15.0,0,mixed_128,full,test,subject,40,,0.6,0.578,0.625,0.625,0.8,0.45,0.6809,0.25
15.0,0,mixed_128,full,test,subject_cal,40,0.6568,0.6,0.578,0.525,0.525,0.55,0.5,0.5366,0.05
15.0,0,mixed_128,full,val,window,5166,,0.6321,0.7138,0.5848,0.626,0.7921,0.3775,0.7175,0.1788
15.0,0,mixed_128,full,val,subject,40,,0.71,0.6562,0.625,0.625,0.95,0.3,0.717,0.25
15.0,0,mixed_300,full,test,window,5422,,0.641,0.7365,0.5921,0.6035,0.6409,0.5433,0.6658,0.1801
15.0,0,mixed_300,full,test,subject,40,,0.6475,0.7043,0.575,0.575,0.65,0.5,0.6047,0.15
15.0,0,mixed_300,full,test,subject_cal,40,0.5434,0.6475,0.7043,0.575,0.575,0.6,0.55,0.5854,0.15
15.0,0,mixed_300,full,val,window,5166,,0.6693,0.7578,0.6089,0.6247,0.6881,0.5297,0.6873,0.2179
15.0,0,mixed_300,full,val,subject,40,,0.805,0.846,0.7,0.7,0.85,0.55,0.7391,0.4
15.0,1,reconstruction_only,full,test,window,5123,,0.5857,0.6809,0.5588,0.5626,0.5756,0.542,0.6169,0.1132
15.0,1,reconstruction_only,full,test,subject,40,,0.6075,0.5808,0.65,0.65,0.7,0.6,0.6667,0.3
15.0,1,reconstruction_only,full,test,subject_cal,40,0.3366,0.6075,0.5808,0.55,0.55,0.75,0.35,0.625,0.1
15.0,1,reconstruction_only,full,val,window,5034,,0.6379,0.6924,0.6141,0.6047,0.5661,0.6622,0.6315,0.2173
15.0,1,reconstruction_only,full,val,subject,40,,0.745,0.698,0.675,0.675,0.65,0.7,0.6667,0.35
15.0,1,lejepa_only_128,full,test,window,5123,,0.7483,0.7963,0.621,0.6855,0.9097,0.3323,0.7797,0.2677
15.0,1,lejepa_only_128,full,test,subject,40,,0.8,0.7954,0.625,0.625,1.0,0.25,0.7273,0.25
15.0,1,lejepa_only_128,full,test,subject_cal,40,0.5356,0.8,0.7954,0.7,0.7,0.7,0.7,0.7,0.4
15.0,1,lejepa_only_128,full,val,window,5034,,0.6678,0.7278,0.5886,0.6585,0.9442,0.2329,0.7679,0.1996
15.0,1,lejepa_only_128,full,val,subject,40,,0.6725,0.6795,0.575,0.575,1.0,0.15,0.7018,0.15
15.0,1,mixed_128,full,test,window,5123,,0.6651,0.7664,0.6017,0.5345,0.3009,0.9025,0.4416,0.1718
15.0,1,mixed_128,full,test,subject,40,,0.7025,0.7549,0.6,0.6,0.25,0.95,0.3846,0.2
15.0,1,mixed_128,full,test,subject_cal,40,0.3772,0.7025,0.7549,0.675,0.675,0.5,0.85,0.6061,0.35
15.0,1,mixed_128,full,val,window,5034,,0.6428,0.731,0.5858,0.5286,0.2948,0.8769,0.4281,0.149
15.0,1,mixed_128,full,val,subject,40,,0.6675,0.6524,0.55,0.55,0.15,0.95,0.25,0.1
15.0,1,mixed_300,full,test,window,5123,,0.6976,0.793,0.6363,0.5899,0.4285,0.8441,0.5611,0.24
15.0,1,mixed_300,full,test,subject,40,,0.7225,0.7843,0.625,0.625,0.3,0.95,0.4444,0.25
15.0,1,mixed_300,full,test,subject_cal,40,0.338,0.7225,0.7843,0.55,0.55,0.75,0.35,0.625,0.1
15.0,1,mixed_300,full,val,window,5034,,0.648,0.7309,0.5881,0.5592,0.4412,0.7349,0.545,0.1611
